# Generated by SVM Log[com.rapidminer.datatable.SimpleDataTable]
# Iteration	Execution Time	kernel_type	C	degree	AUC
48.0	1.638959460928E12	radial	1000.0	0.0039810717055349725	0.7225842383737122
36.0	1.638959460939E12	polynomial	15.848931924611136	0.001	0.6463088276246173
43.0	1.638959467766E12	polynomial	3.9810717055349727	0.06309573444801932	0.7092648287385132
14.0	1.638959468151E12	polynomial	251.1886431509581	0.25118864315095807	0.6224359509885826
45.0	1.638959494177E12	dot	15.848931924611136	0.0039810717055349725	0.7245467836257311
54.0	1.638959497579E12	radial	15.848931924611136	0.0039810717055349725	0.7118476747424116
46.0	1.638959501823E12	dot	15.848931924611136	0.25118864315095807	0.7102736006683374
56.0	1.638959504649E12	radial	15.848931924611136	0.25118864315095807	0.7197695627958788
47.0	1.638959508162E12	dot	15.848931924611136	0.001	0.6491945140629353
58.0	1.63895950996E12	radial	15.848931924611136	0.001	0.7487197159565582
52.0	1.638959512211E12	dot	15.848931924611136	0.06309573444801932	0.7558890281258702
60.0	1.638959513976E12	radial	15.848931924611136	0.06309573444801932	0.7728000556947927
40.0	1.638959518011E12	polynomial	63.095734448019314	0.06309573444801932	0.7066381230854916
44.0	1.638959519253E12	dot	63.095734448019314	0.001	0.720586187691451
42.0	1.638959520462E12	polynomial	63.095734448019314	0.001	0.7949714564188249
63.0	1.638959520991E12	radial	63.095734448019314	0.001	0.7424707602339182
55.0	1.638959537801E12	polynomial	15.848931924611136	0.0039810717055349725	0.7699324700640491
57.0	1.638959542285E12	polynomial	15.848931924611136	0.25118864315095807	0.5998579782790309
51.0	1.638959542618E12	dot	63.095734448019314	0.001	0.6797626009468115
68.0	1.638959544118E12	radial	63.095734448019314	0.001	0.7311814257866891
59.0	1.638959545265E12	polynomial	15.848931924611136	0.001	0.671651350598719
61.0	1.638959552224E12	polynomial	15.848931924611136	0.06309573444801932	0.7247298802561962
49.0	1.638959563146E12	dot	1000.0	0.0039810717055349725	0.6651371484266222
50.0	1.63895956521E12	polynomial	1000.0	0.0039810717055349725	0.6281182121971597
53.0	1.638959569706E12	dot	1000.0	0.25118864315095807	0.6977297410192147
72.0	1.63895957613E12	radial	1000.0	0.0039810717055349725	0.7506530214424951
73.0	1.638959584711E12	dot	1.0	0.0039810717055349725	0.734619186856029
76.0	1.638959586744E12	radial	1.0	0.0039810717055349725	0.7542655249234197
74.0	1.63895958982E12	radial	1000.0	0.25118864315095807	0.701733500417711
65.0	1.638959590267E12	polynomial	63.095734448019314	0.001	0.8053251183514343
77.0	1.638959600356E12	polynomial	1.0	0.0039810717055349725	0.7497584238373713
66.0	1.638959602364E12	dot	63.095734448019314	0.0039810717055349725	0.702119186856029
81.0	1.638959603687E12	radial	63.095734448019314	0.0039810717055349725	0.7212628794207742
62.0	1.638959609429E12	dot	251.1886431509581	0.06309573444801932	0.6388854079643553
67.0	1.638959610125E12	dot	63.095734448019314	0.25118864315095807	0.6812768031189084
83.0	1.638959610709E12	radial	251.1886431509581	0.06309573444801932	0.676035575048733
69.0	1.638959610809E12	polynomial	63.095734448019314	0.001	0.776825396825397
70.0	1.638959611141E12	dot	63.095734448019314	0.001	0.7215135059871902
84.0	1.638959611403E12	radial	63.095734448019314	0.25118864315095807	0.7131154274575329
64.0	1.638959611621E12	dot	251.1886431509581	0.001	0.673290866054024
89.0	1.638959615498E12	radial	251.1886431509581	0.001	0.6734628237259817
87.0	1.638959616206E12	radial	63.095734448019314	0.001	0.7077568922305766
