# Generated by Cross Validation Log[com.rapidminer.datatable.SimpleDataTable]
# Iteration	Execution Time	rounds	booster	sample_type	normalize_type	learning_type	max_depth	feature_selector	top_k	updater	AUC
127.0	2966.0	70.0	linear booster	uniform	tree	0.010000000000000002	6.0	thrifty	15.0	coord_descent	true
126.0	3578.0	11.0	linear booster	uniform	tree	0.0	6.0	shuffle	15.0	coord_descent	true
130.0	3116.0	41.0	DART	uniform	tree	0.010000000000000002	6.0	shuffle	15.0	shotgun	true
131.0	3127.0	21.0	tree booster	uniform	tree	0.36	6.0	thrifty	15.0	shotgun	true
129.0	4232.0	1.0	DART	uniform	tree	0.48999999999999994	6.0	cyclic	15.0	coord_descent	true
134.0	3592.0	80.0	tree booster	uniform	tree	0.6400000000000001	6.0	thrifty	15.0	coord_descent	true
135.0	3714.0	31.0	linear booster	uniform	tree	0.0	6.0	cyclic	15.0	coord_descent	true
132.0	4813.0	41.0	linear booster	uniform	tree	0.04000000000000001	6.0	shuffle	15.0	shotgun	true
136.0	4157.0	11.0	DART	uniform	tree	0.36	6.0	thrifty	15.0	coord_descent	true
137.0	3874.0	80.0	linear booster	uniform	tree	0.010000000000000002	6.0	thrifty	15.0	coord_descent	true
133.0	5320.0	11.0	linear booster	uniform	tree	0.04000000000000001	6.0	cyclic	15.0	coord_descent	true
139.0	4918.0	21.0	linear booster	uniform	tree	0.0	6.0	shuffle	15.0	coord_descent	true
138.0	5519.0	51.0	linear booster	uniform	tree	0.25	6.0	cyclic	15.0	shotgun	true
141.0	4383.0	31.0	tree booster	uniform	tree	0.36	6.0	thrifty	15.0	shotgun	true
140.0	4990.0	51.0	DART	uniform	tree	0.010000000000000002	6.0	shuffle	15.0	shotgun	true
142.0	5418.0	11.0	DART	uniform	tree	0.48999999999999994	6.0	cyclic	15.0	coord_descent	true
143.0	4188.0	90.0	tree booster	uniform	tree	0.6400000000000001	6.0	thrifty	15.0	coord_descent	true
144.0	4493.0	41.0	linear booster	uniform	tree	0.0	6.0	cyclic	15.0	coord_descent	true
147.0	4996.0	90.0	linear booster	uniform	tree	0.010000000000000002	6.0	thrifty	15.0	coord_descent	true
146.0	5348.0	21.0	DART	uniform	tree	0.36	6.0	thrifty	15.0	coord_descent	true
148.0	5829.0	21.0	linear booster	uniform	tree	0.04000000000000001	6.0	cyclic	15.0	coord_descent	true
145.0	7913.0	51.0	linear booster	uniform	tree	0.04000000000000001	6.0	shuffle	15.0	shotgun	true
149.0	6461.0	31.0	linear booster	uniform	tree	0.0	6.0	shuffle	15.0	coord_descent	true
150.0	6461.0	60.0	linear booster	uniform	tree	0.25	6.0	cyclic	15.0	shotgun	true
151.0	6444.0	41.0	tree booster	uniform	tree	0.36	6.0	thrifty	15.0	shotgun	true
152.0	6060.0	60.0	DART	uniform	tree	0.010000000000000002	6.0	shuffle	15.0	shotgun	true
155.0	6210.0	51.0	linear booster	uniform	tree	0.0	6.0	cyclic	15.0	coord_descent	true
157.0	5288.0	31.0	DART	uniform	tree	0.36	6.0	thrifty	15.0	coord_descent	true
153.0	7495.0	21.0	DART	uniform	tree	0.48999999999999994	6.0	cyclic	15.0	coord_descent	true
158.0	5217.0	31.0	linear booster	uniform	tree	0.04000000000000001	6.0	cyclic	15.0	coord_descent	true
156.0	7041.0	100.0	linear booster	uniform	tree	0.010000000000000002	6.0	thrifty	15.0	coord_descent	true
154.0	9518.0	100.0	tree booster	uniform	tree	0.6400000000000001	6.0	thrifty	15.0	coord_descent	true
160.0	5584.0	41.0	linear booster	uniform	tree	0.0	6.0	shuffle	15.0	coord_descent	true
162.0	5581.0	51.0	tree booster	uniform	tree	0.36	6.0	thrifty	15.0	shotgun	true
159.0	6686.0	60.0	linear booster	uniform	tree	0.04000000000000001	6.0	shuffle	15.0	shotgun	true
163.0	6257.0	70.0	DART	uniform	tree	0.010000000000000002	6.0	shuffle	15.0	shotgun	true
164.0	7123.0	60.0	linear booster	uniform	tree	0.0	6.0	cyclic	15.0	coord_descent	true
165.0	6469.0	41.0	DART	uniform	tree	0.36	6.0	thrifty	15.0	coord_descent	true
166.0	6536.0	31.0	DART	uniform	tree	0.48999999999999994	6.0	cyclic	15.0	coord_descent	true
161.0	10713.0	70.0	linear booster	uniform	tree	0.25	6.0	cyclic	15.0	shotgun	true
167.0	7564.0	41.0	linear booster	uniform	tree	0.04000000000000001	6.0	cyclic	15.0	coord_descent	true
168.0	8603.0	1.0	DART	uniform	tree	0.010000000000000002	6.0	thrifty	15.0	coord_descent	true
170.0	8813.0	51.0	linear booster	uniform	tree	0.0	6.0	shuffle	15.0	coord_descent	true
171.0	9200.0	60.0	tree booster	uniform	tree	0.36	6.0	thrifty	15.0	shotgun	true
172.0	10031.0	70.0	linear booster	uniform	tree	0.04000000000000001	6.0	shuffle	15.0	shotgun	true
173.0	9832.0	80.0	DART	uniform	tree	0.010000000000000002	6.0	shuffle	15.0	shotgun	true
176.0	10247.0	41.0	DART	uniform	tree	0.48999999999999994	6.0	cyclic	15.0	coord_descent	true
175.0	10431.0	51.0	DART	uniform	tree	0.36	6.0	thrifty	15.0	coord_descent	true
